sample,study,Plate,Sample Source,Extraction Method,Date of Sample Collection,treatment,Unique ID,Well,concentration (ng/ul),cent_speed,time,phase,replicate,count,Day
alexis.cent.226,centrifuge,plate 4,FM  05/18/2017 B1 Solid,MagAttract PowerSoil,,,alexis.cent.226,E4,1.023773167,FM,5/18/17,Solid,,,
alexis.cent.227,centrifuge,plate 4,FM  05/18/2018 B2 Solid,MagAttract PowerSoil,,,alexis.cent.227,E5,1.207790511,FM,5/18/17,Solid,,,
alexis.cent.228,centrifuge,plate 4,FM  05/18/2019 B3 Solid,MagAttract PowerSoil,,,alexis.cent.228,E6,1.093401352,FM,5/18/17,Solid,,,
alexis.cent.229,centrifuge,plate 4,2000g          60min D1 Solid,MagAttract PowerSoil,,,alexis.cent.229,F1,6.15636504,2000g,60min,Solid,,,
alexis.cent.230,centrifuge,plate 4,2000g          60min D2 Solid,MagAttract PowerSoil,,,alexis.cent.230,F2,4.932898372,2000g,60min,Solid,,,
alexis.cent.231,centrifuge,plate 4,2000g          60min D3 Solid,MagAttract PowerSoil,,,alexis.cent.231,F3,5.683888075,2000g,60min,Solid,,,
alexis.cent.232,centrifuge,plate 4,FM  05/18/2017 C1 Solid,MagAttract PowerSoil,,,alexis.cent.232,F4,1.764815986,FM,5/18/17,Solid,,,
alexis.cent.233,centrifuge,plate 4,FM  05/18/2018 C2 Solid,MagAttract PowerSoil,,,alexis.cent.233,F5,2.073169374,FM,5/18/17,Solid,,,
alexis.cent.234,centrifuge,plate 4,FM  05/18/2019 C3 Solid,MagAttract PowerSoil,,,alexis.cent.234,F6,1.625559617,FM,5/18/17,Solid,,,
alexis.cent.235,centrifuge,plate 4,FM      05/16/2017 B1 Solid,MagAttract PowerSoil,,,alexis.cent.235,G1,3.231981298,FM,5/16/17,Solid,,,
alexis.cent.236,centrifuge,plate 4,FM      05/16/2017 B2 Solid,MagAttract PowerSoil,,,alexis.cent.236,G2,2.421310295,FM,5/16/17,Solid,,,
alexis.cent.237,centrifuge,plate 4,FM      05/16/2017 B3 Solid,MagAttract PowerSoil,,,alexis.cent.237,G3,2.789344984,FM,5/16/17,Solid,,,
alexis.cent.238,centrifuge,plate 4,FM     05/18/2017 D1 Solid,MagAttract PowerSoil,,,alexis.cent.238,G4,1.436568831,FM,5/18/17,Solid,,,
alexis.cent.239,centrifuge,plate 4,FM     05/18/2017 D2 Solid,MagAttract PowerSoil,,,alexis.cent.239,G5,2.858973168,FM,5/18/17,Solid,,,
alexis.cent.240,centrifuge,plate 4,FM     05/18/2017 D3 Solid,MagAttract PowerSoil,,,alexis.cent.240,G6,2.386496203,FM,5/18/17,Solid,,,
alexis.cent.241,centrifuge,plate 4,FM      05/16/2017 C1 Solid,MagAttract PowerSoil,,,alexis.cent.241,H1,2.908707586,FM,5/16/17,Solid,,,
alexis.cent.242,centrifuge,plate 4,FM      05/16/2017 C2 Solid,MagAttract PowerSoil,,,alexis.cent.242,H2,2.963415445,FM,5/16/17,Solid,,,
alexis.cent.243,centrifuge,plate 4,FM      05/16/2017 C3 Solid,MagAttract PowerSoil,,,alexis.cent.243,H3,2.829132518,FM,5/16/17,Solid,,,
alexis.cent.244,centrifuge,plate 4,FM    06/26/2017 B1 Solid,MagAttract PowerSoil,,,alexis.cent.244,H4,1.476356365,FM,6/26/17,Solid,,,
alexis.cent.245,centrifuge,plate 4,FM    06/26/2017 B2 Solid,MagAttract PowerSoil,,,alexis.cent.245,H5,1.307259346,FM,6/26/17,Solid,,,
alexis.cent.246,centrifuge,plate 4,FM    06/26/2017 B3 Solid,MagAttract PowerSoil,,,alexis.cent.246,H6,1.421648506,FM,6/26/17,Solid,,,
AD_170206_C1,AnaerobicDigestion,,,,170206,57C,,,,,,,C1,,115
AD_170206_C2,AnaerobicDigestion,,,,170206,57C,,,,,,,C2,,115
AD_170206_C3,AnaerobicDigestion,,,,170206,57C,,,,,,,C3,,115
PS_170220_A1,TwoPhase,,,,170220,Non-Manure-added,,,,,,,A1,,129
PS_170220_A2,TwoPhase,,,,170220,Non-Manure-added,,,,,,,A2,,129
PS_170220_A3,TwoPhase,,,,170220,Non-Manure-added,,,,,,,A3,,129
PS_170220_B1,TwoPhase,,,,170220,Manure-added,,,,,,,B1,,129
PS_170220_B2,TwoPhase,,,,170220,Manure-added,,,,,,,B2,,129
PS_170220_B3,TwoPhase,,,,170220,Manure-added,,,,,,,B3,,129
ntc5,NTC,,,,,,,,,,,,,,
16st1e8,standard,,,,,,,,,,,,,100000000,
16st1e7,standard,,,,,,,,,,,,,10000000,
16st1e6,standard,,,,,,,,,,,,,1000000,
16st1e5,standard,,,,,,,,,,,,,100000,
16st1e4,standard,,,,,,,,,,,,,10000,
16st1e3,standard,,,,,,,,,,,,,1000,
16st1e2,standard,,,,,,,,,,,,,100,
ntc1,NTC,,,,,,,,,,,,,0,
ermbst1e8,standard,,,,,,,,,,,,,100000000,
ermbst1e7,standard,,,,,,,,,,,,,10000000,
ermbst1e6,standard,,,,,,,,,,,,,1000000,
ermbst1e5,standard,,,,,,,,,,,,,100000,
ermbst1e4,standard,,,,,,,,,,,,,10000,
ermbst1e3,standard,,,,,,,,,,,,,1000,
ermbst1e2,standard,,,,,,,,,,,,,100,
ntc2,NTC,,,,,,,,,,,,,0,
ermfst1e8,standard,,,,,,,,,,,,,100000000,
ermfst1e7,standard,,,,,,,,,,,,,10000000,
ermfst1e6,standard,,,,,,,,,,,,,1000000,
ermfst1e5,standard,,,,,,,,,,,,,100000,
ermfst1e4,standard,,,,,,,,,,,,,10000,
ermfst1e3,standard,,,,,,,,,,,,,1000,
ermfst1e2,standard,,,,,,,,,,,,,100,
ntc3,NTC,,,,,,,,,,,,,0,
tetmst1e8,standard,,,,,,,,,,,,,100000000,
tetmst1e7,standard,,,,,,,,,,,,,10000000,
tetmst1e6,standard,,,,,,,,,,,,,1000000,
tetmst1e5,standard,,,,,,,,,,,,,100000,
tetmst1e4,standard,,,,,,,,,,,,,10000,
tetmst1e3,standard,,,,,,,,,,,,,1000,
tetmst1e2,standard,,,,,,,,,,,,,100,
ntc4,NTC,,,,,,,,,,,,,0,
